player,rating,acs,kd,kast,adr,kpr,apr,fk_fd_ratio,fkpr,fdpr,hs_percent,cl_percent
C0MEG,0.9,164.6,0.84,70%,110,0.55,0.29,0.8,0.06,0.08,21%,8%
SatoLEV,0.9,190.4,0.96,67%,130.8,0.69,0.21,0.66,0.13,0.2,31%,17%
KyuSEN,0.9,176.8,0.86,68%,114,0.6,0.28,0.59,0.05,0.09,21%,12%
EthanNRG,0.89,174.4,0.83,71%,115.1,0.58,0.35,0.94,0.11,0.11,24%,17%
benGKRÜ,0.89,163.8,0.78,66%,103.5,0.57,0.27,1.2,0.07,0.06,32%,10%
OkeanosEG,0.88,174.4,0.92,67%,111.5,0.64,0.27,0.79,0.09,0.11,34%,20%
pANcadaLOUD,0.87,157.3,0.78,76%,110.8,0.53,0.32,1.6,0.05,0.03,30%,10%
infiltratorKRÜ,0.86,205.8,0.84,68%,133.4,0.7,0.21,0.74,0.14,0.19,27%,13%
jawgemoG2,0.85,196.3,0.85,71%,127.5,0.65,0.3,1,0.18,0.18,20%,14%
corteziaSEN,0.85,175.6,0.85,67%,126.2,0.59,0.2,0.93,0.07,0.08,31%,11%
EggsterrENVY,0.85,180.8,0.88,69%,115.5,0.64,0.23,0.79,0.11,0.14,27%,13%
ZellsisC9,0.83,150,0.71,72%,93.3,0.49,0.49,0.7,0.05,0.08,18%,8%
P0PPINENVY,0.83,178.4,0.84,70%,114.6,0.62,0.27,1.27,0.11,0.09,29%,
texMIBR,0.82,165.2,0.84,69%,108.4,0.6,0.21,0.76,0.09,0.11,30%,8%
spikeLEV,0.81,172.5,0.79,69%,112.8,0.59,0.31,1.09,0.1,0.1,26%,11%
N4RRATESEN,0.8,187.1,0.79,69%,124.3,0.62,0.23,0.96,0.14,0.14,22%,
cauanzinLOUD,0.79,162.6,0.77,71%,109.8,0.58,0.27,0.44,0.05,0.11,24%,
VirtyyLOUD,0.75,171.3,0.82,64%,107.7,0.64,0.16,0.52,0.09,0.17,21%,15%
GovernorKRÜ,0.71,148.3,0.65,63%,100.6,0.51,0.28,0.4,0.05,0.12,24%,10%
